family_sku,sku,karat,metal,width_mm,ring_size_us,weight_grams,price_preview_cents_active_basis,quantity
GLD-R-1008,GLD-R-1008-5MM-4,10K,Yellow Gold,5,4,3.42,70500,20
GLD-R-1008,GLD-R-1008-5MM-4.5,10K,Yellow Gold,5,4.5,3.505,71500,20
GLD-R-1008,GLD-R-1008-5MM-5,10K,Yellow Gold,5,5,3.59,73000,20
GLD-R-1008,GLD-R-1008-5MM-5.5,10K,Yellow Gold,5,5.5,3.67,74000,20
GLD-R-1008,GLD-R-1008-5MM-6,10K,Yellow Gold,5,6,3.75,75500,20
GLD-R-1008,GLD-R-1008-5MM-6.5,10K,Yellow Gold,5,6.5,3.835,76500,20
GLD-R-1008,GLD-R-1008-5MM-7,10K,Yellow Gold,5,7,3.92,78000,20
GLD-R-1008,GLD-R-1008-5MM-7.5,10K,Yellow Gold,5,7.5,4.0,79000,20
GLD-R-1008,GLD-R-1008-5MM-8,10K,Yellow Gold,5,8,4.08,80000,20
GLD-R-1008,GLD-R-1008-5MM-8.5,10K,Yellow Gold,5,8.5,4.165,81500,20
GLD-R-1008,GLD-R-1008-5MM-9,10K,Yellow Gold,5,9,4.25,82500,20
GLD-R-1008,GLD-R-1008-5MM-9.5,10K,Yellow Gold,5,9.5,4.335,84000,20
GLD-R-1008,GLD-R-1008-5MM-10,10K,Yellow Gold,5,10,4.42,85000,20
GLD-R-1008,GLD-R-1008-5MM-10.5,10K,Yellow Gold,5,10.5,4.5,86500,20
GLD-R-1008,GLD-R-1008-5MM-11,10K,Yellow Gold,5,11,4.58,87500,20
GLD-R-1008,GLD-R-1008-5MM-11.5,10K,Yellow Gold,5,11.5,4.665,89000,20
GLD-R-1008,GLD-R-1008-5MM-12,10K,Yellow Gold,5,12,4.75,90000,20
GLD-R-1008,GLD-R-1008-5MM-12.5,10K,Yellow Gold,5,12.5,4.83,91000,20
GLD-R-1008,GLD-R-1008-5MM-13,10K,Yellow Gold,5,13,4.91,92500,20
GLD-R-1008,GLD-R-1008-5MM-13.5,10K,Yellow Gold,5,13.5,4.995,93500,20
GLD-R-1008,GLD-R-1008-5MM-14,10K,Yellow Gold,5,14,5.08,95000,20
GLD-R-1008,GLD-R-1008-5MM-14.5,10K,Yellow Gold,5,14.5,5.185,96500,20
GLD-R-1008,GLD-R-1008-5MM-15,10K,Yellow Gold,5,15,5.29,98000,20
GLD-R-1008,GLD-R-1008-5MM-15.5,10K,Yellow Gold,5,15.5,5.355,99000,20
GLD-R-1008,GLD-R-1008-5MM-16,10K,Yellow Gold,5,16,5.42,100000,20
GLD-R-1008,GLD-R-1008-6MM-4,10K,Yellow Gold,6,4,4.11,80500,20
GLD-R-1008,GLD-R-1008-6MM-4.5,10K,Yellow Gold,6,4.5,4.205,82000,20
GLD-R-1008,GLD-R-1008-6MM-5,10K,Yellow Gold,6,5,4.3,83500,20
GLD-R-1008,GLD-R-1008-6MM-5.5,10K,Yellow Gold,6,5.5,4.4,85000,20
GLD-R-1008,GLD-R-1008-6MM-6,10K,Yellow Gold,6,6,4.5,86500,20
GLD-R-1008,GLD-R-1008-6MM-6.5,10K,Yellow Gold,6,6.5,4.6,88000,20
GLD-R-1008,GLD-R-1008-6MM-7,10K,Yellow Gold,6,7,4.7,89500,20
GLD-R-1008,GLD-R-1008-6MM-7.5,10K,Yellow Gold,6,7.5,4.8,91000,20
GLD-R-1008,GLD-R-1008-6MM-8,10K,Yellow Gold,6,8,4.9,92000,20
GLD-R-1008,GLD-R-1008-6MM-8.5,10K,Yellow Gold,6,8.5,5.0,93500,20
GLD-R-1008,GLD-R-1008-6MM-9,10K,Yellow Gold,6,9,5.1,95000,20
GLD-R-1008,GLD-R-1008-6MM-9.5,10K,Yellow Gold,6,9.5,5.2,96500,20
GLD-R-1008,GLD-R-1008-6MM-10,10K,Yellow Gold,6,10,5.3,98000,20
GLD-R-1008,GLD-R-1008-6MM-10.5,10K,Yellow Gold,6,10.5,5.4,99500,20
GLD-R-1008,GLD-R-1008-6MM-11,10K,Yellow Gold,6,11,5.5,101000,20
GLD-R-1008,GLD-R-1008-6MM-11.5,10K,Yellow Gold,6,11.5,5.6,102500,20
GLD-R-1008,GLD-R-1008-6MM-12,10K,Yellow Gold,6,12,5.7,104000,20
GLD-R-1008,GLD-R-1008-6MM-12.5,10K,Yellow Gold,6,12.5,5.8,105500,20
GLD-R-1008,GLD-R-1008-6MM-13,10K,Yellow Gold,6,13,5.9,107000,20
GLD-R-1008,GLD-R-1008-6MM-13.5,10K,Yellow Gold,6,13.5,6.0,108500,20
GLD-R-1008,GLD-R-1008-6MM-14,10K,Yellow Gold,6,14,6.1,110000,20
GLD-R-1008,GLD-R-1008-6MM-14.5,10K,Yellow Gold,6,14.5,6.195,111500,20
GLD-R-1008,GLD-R-1008-6MM-15,10K,Yellow Gold,6,15,6.29,113000,20
GLD-R-1008,GLD-R-1008-6MM-15.5,10K,Yellow Gold,6,15.5,6.39,114000,20
GLD-R-1008,GLD-R-1008-6MM-16,10K,Yellow Gold,6,16,6.49,115500,20
GLD-R-1008,GLD-R-1008-7MM-4,10K,Yellow Gold,7,4,4.79,90500,20
GLD-R-1008,GLD-R-1008-7MM-4.5,10K,Yellow Gold,7,4.5,4.905,92500,20
GLD-R-1008,GLD-R-1008-7MM-5,10K,Yellow Gold,7,5,5.02,94000,20
GLD-R-1008,GLD-R-1008-7MM-5.5,10K,Yellow Gold,7,5.5,5.135,95500,20
GLD-R-1008,GLD-R-1008-7MM-6,10K,Yellow Gold,7,6,5.25,97500,20
GLD-R-1008,GLD-R-1008-7MM-6.5,10K,Yellow Gold,7,6.5,5.37,99000,20
GLD-R-1008,GLD-R-1008-7MM-7,10K,Yellow Gold,7,7,5.49,101000,20
GLD-R-1008,GLD-R-1008-7MM-7.5,10K,Yellow Gold,7,7.5,5.605,102500,20
GLD-R-1008,GLD-R-1008-7MM-8,10K,Yellow Gold,7,8,5.72,104500,20
GLD-R-1008,GLD-R-1008-7MM-8.5,10K,Yellow Gold,7,8.5,5.835,106000,20
GLD-R-1008,GLD-R-1008-7MM-9,10K,Yellow Gold,7,9,5.95,107500,20
GLD-R-1008,GLD-R-1008-7MM-9.5,10K,Yellow Gold,7,9.5,6.065,109500,20
GLD-R-1008,GLD-R-1008-7MM-10,10K,Yellow Gold,7,10,6.18,111000,20
GLD-R-1008,GLD-R-1008-7MM-10.5,10K,Yellow Gold,7,10.5,6.3,113000,20
GLD-R-1008,GLD-R-1008-7MM-11,10K,Yellow Gold,7,11,6.42,114500,20
GLD-R-1008,GLD-R-1008-7MM-11.5,10K,Yellow Gold,7,11.5,6.535,116500,20
GLD-R-1008,GLD-R-1008-7MM-12,10K,Yellow Gold,7,12,6.65,118000,20
GLD-R-1008,GLD-R-1008-7MM-12.5,10K,Yellow Gold,7,12.5,6.765,119500,20
